Class Name,Registered Name
jds.bibliocraft.tileentities.TileEntityPaintPress,biblioPaintPressTile
jds.bibliocraft.tileentities.TileEntityPainting,biblioPaintingTile
jds.bibliocraft.tileentities.TileEntityPotionShelf,PotionShelfTile
jds.bibliocraft.tileentities.TileEntityPrintPress,PrintPressTile
jds.bibliocraft.tileentities.TileEntitySeat,seatTile
jds.bibliocraft.tileentities.TileEntitySwordPedestal,swordPedTile
jds.bibliocraft.tileentities.TileEntityTable,TableTile
jds.bibliocraft.tileentities.TileEntityTypeMachine,TypeMachineTile
jds.bibliocraft.tileentities.TileEntityTypewriter,biblioTypewriterTile
jds.bibliocraft.tileentities.TileEntityWeaponCase,WeaponCaseTile
jds.bibliocraft.tileentities.TileEntityWeaponRack,ToolRackTile
jds.bibliocraft.tileentities.TileEntityWritingDesk,WritingDeskTile
jds.bibliowood.forestrywood.blocks.TEBookcase,ForestryBookcaseTile
jds.bibliowood.forestrywood.blocks.TEBookcase2,ForestryBookcaseTile2
jds.bibliowood.forestrywood.blocks.TECase0,ForestryWeaponCaseTile0
jds.bibliowood.forestrywood.blocks.TECase1,ForestryWeaponCaseTile1
jds.bibliowood.forestrywood.blocks.TEClock,ForestryClockTile
jds.bibliowood.forestrywood.blocks.TEClock2,ForestryClockTile2
jds.bibliowood.forestrywood.blocks.TEDesk,ForestryWritingDeskTile
jds.bibliowood.forestrywood.blocks.TEDesk2,ForestryWritingDeskTile2
jds.bibliowood.forestrywood.blocks.TEFancySign,ForestryFancySignTile
jds.bibliowood.forestrywood.blocks.TEFancySign2,ForestryFancySignTile2
jds.bibliowood.forestrywood.blocks.TEFancyWorkbench,ForestryFancyWorkbenchTile
jds.bibliowood.forestrywood.blocks.TEFancyWorkbench2,ForestryFancyWorkbenchTile2
jds.bibliowood.forestrywood.blocks.TELabel,ForestryWoodLabelTile
jds.bibliowood.forestrywood.blocks.TELabel2,ForestryWoodLabelTile2
jds.bibliowood.forestrywood.blocks.TEMapFrame,ForestryMapFrameTile
jds.bibliowood.forestrywood.blocks.TEMapFrame2,ForestryMapFrameTile2
jds.bibliowood.forestrywood.blocks.TEPainting,ForestryPaintingTile
jds.bibliowood.forestrywood.blocks.TEPainting2,ForestryPaintingTile2
jds.bibliowood.forestrywood.blocks.TEPotionShelf,ForestryPotionShelfTile
jds.bibliowood.forestrywood.blocks.TEPotionShelf2,ForestryPotionShelfTile2
jds.bibliowood.forestrywood.blocks.TESeat,ForestrySeatTile
jds.bibliowood.forestrywood.blocks.TESeat2,ForestrySeatTile2
jds.bibliowood.forestrywood.blocks.TEShelf,ForestryGenericShelfTile
jds.bibliowood.forestrywood.blocks.TEShelf2,ForestryGenericShelfTile2
jds.bibliowood.forestrywood.blocks.TETable,ForestryTableTile
jds.bibliowood.forestrywood.blocks.TETable2,ForestryTableTile2
jds.bibliowood.forestrywood.blocks.TEToolRack,ForestryToolRackTile
jds.bibliowood.forestrywood.blocks.TEToolRack2,ForestryToolRackTile2
mods.railcraft.common.blocks.aesthetics.post.TilePostEmblem,RCPostEmblemTile
mods.railcraft.common.blocks.aesthetics.slab.TileSlab,RCSlabTile
mods.railcraft.common.blocks.aesthetics.stairs.TileStair,RCStairTile
mods.railcraft.common.blocks.detector.TileDetector,RCDetectorTile
mods.railcraft.common.blocks.hidden.TileHidden,RCHiddenTile
mods.railcraft.common.blocks.machine.alpha.TileAnchorAdmin,RCAdminAnchorTile
mods.railcraft.common.blocks.machine.alpha.TileAnchorPersonal,RCPersonalAnchorTile
mods.railcraft.common.blocks.machine.alpha.TileAnchorWorld,RCWorldAnchorTile
mods.railcraft.common.blocks.machine.alpha.TileBlastFurnace,RCBlastFurnaceTile
mods.railcraft.common.blocks.machine.alpha.TileCokeOven,RCCokeOvenTile
mods.railcraft.common.blocks.machine.alpha.TileEngravingBench,RCEngravingBenchTile
mods.railcraft.common.blocks.machine.alpha.TileFeedStation,RCFeedStationTile
mods.railcraft.common.blocks.machine.alpha.TileRockCrusher,RCRockCrusherTile
mods.railcraft.common.blocks.machine.alpha.TileRollingMachine,RCRollingMachineTile
mods.railcraft.common.blocks.machine.alpha.TileSmoker,RCSmokerTile
mods.railcraft.common.blocks.machine.alpha.TileSteamOven,RCSteamOvenTile
mods.railcraft.common.blocks.machine.alpha.TileSteamTrapAuto,RCSteamTrapAutoTile
mods.railcraft.common.blocks.machine.alpha.TileSteamTrapManual,RCSteamTrapManualTile
mods.railcraft.common.blocks.machine.alpha.TileSteamTurbine,RCSteamTurbineTile
mods.railcraft.common.blocks.machine.alpha.TileTankWater,RCWaterTankTile
mods.railcraft.common.blocks.machine.alpha.TileTradeStation,RCTradeStationTile
mods.railcraft.common.blocks.machine.beta.TileBoilerFireboxLiquid,RCBoilerFireboxLiquidTile
mods.railcraft.common.blocks.machine.beta.TileBoilerFireboxSolid,RCBoilerFireboxSoildTile
mods.railcraft.common.blocks.machine.beta.TileBoilerTankHigh,RCBoilerTankHighTile
mods.railcraft.common.blocks.machine.beta.TileBoilerTankLow,RCBoilerTankLowTile
mods.railcraft.common.blocks.machine.beta.TileChestMetals,RCMetalsChestTile
mods.railcraft.common.blocks.machine.beta.TileChestVoid,RCVoidChestTile
mods.railcraft.common.blocks.machine.beta.TileEngineSteamHigh,RCEngineSteamHigh
mods.railcraft.common.blocks.machine.beta.TileEngineSteamHobby,RCEngineSteamHobby
mods.railcraft.common.blocks.machine.beta.TileEngineSteamLow,RCEngineSteamLow
mods.railcraft.common.blocks.machine.beta.TileSawmill,RCSawmillTile
mods.railcraft.common.blocks.machine.beta.TileSentinel,RCAnchorSentinelTile
mods.railcraft.common.blocks.machine.beta.TileTankIronGauge,RCIronTankGaugeTile
mods.railcraft.common.blocks.machine.beta.TileTankIronValve,RCIronTankValveTile
mods.railcraft.common.blocks.machine.beta.TileTankIronWall,RCIronTankWallTile
mods.railcraft.common.blocks.machine.beta.TileTankSteelGauge,RCSteelTankGaugeTile
mods.railcraft.common.blocks.machine.beta.TileTankSteelValve,RCSteelTankValveTile
mods.railcraft.common.blocks.machine.beta.TileTankSteelWall,RCSteelTankWallTile
mods.railcraft.common.blocks.machine.delta.TileCage,RCCageTile
mods.railcraft.common.blocks.machine.delta.TileWire,RCWireTile
mods.railcraft.common.blocks.machine.epsilon.TileAdminSteamProducer,RCAdminSteamProducerTile
mods.railcraft.common.blocks.machine.epsilon.TileElectricFeeder,RCElectricFeederTile
mods.railcraft.common.blocks.machine.epsilon.TileElectricFeederAdmin,RCElectricFeederAdminTile
mods.railcraft.common.blocks.machine.epsilon.TileFluxTransformer,RCFluxTransformerTile
mods.railcraft.common.blocks.machine.epsilon.TileForceTrackEmitter,RCForceTrackEmitterTile
mods.railcraft.common.blocks.machine.gamma.TileDispenserCart,RCMinecartDispenserTile
mods.railcraft.common.blocks.machine.gamma.TileDispenserTrain,RCTrainDispenserTile
mods.railcraft.common.blocks.machine.gamma.TileEnergyLoader,RCLoaderTileEnergy
mods.railcraft.common.blocks.machine.gamma.TileEnergyUnloader,RCUnloaderTileEnergy
mods.railcraft.common.blocks.machine.gamma.TileItemLoader,RCLoaderTile
mods.railcraft.common.blocks.machine.gamma.TileItemLoaderAdvanced,RCLoaderAdvancedTile
mods.railcraft.common.blocks.machine.gamma.TileItemUnloader,RCUnloaderTile
mods.railcraft.common.blocks.machine.gamma.TileItemUnloaderAdvanced,RCUnloaderAdvancedTile
mods.railcraft.common.blocks.machine.gamma.TileLiquidLoader,RCLoaderTileLiquid
mods.railcraft.common.blocks.machine.gamma.TileLiquidUnloader,RCUnloaderTileLiquid
mods.railcraft.common.blocks.signals.TileBoxAnalogController,RCTileStructureAnalogBox
mods.railcraft.common.blocks.signals.TileBoxBlockRelay,RCTileStructureSignalBox
mods.railcraft.common.blocks.signals.TileBoxCapacitor,RCTileStructureCapacitorBox
mods.railcraft.common.blocks.signals.TileBoxController,RCTileStructureControllerBox
mods.railcraft.common.blocks.signals.TileBoxInterlock,RCTileStructureInterlockBox
mods.railcraft.common.blocks.signals.TileBoxReceiver,RCTileStructureReceiverBox
mods.railcraft.common.blocks.signals.TileBoxSequencer,RCTileStructureSequencerBox
mods.railcraft.common.blocks.signals.TileSignalBlockSignal,RCTileStructureBlockSignal
mods.railcraft.common.blocks.signals.TileSignalDistantSignal,RCTileStructureDistantSignal
mods.railcraft.common.blocks.signals.TileSignalDualHeadBlockSignal,RCTileStructureDualHeadBlockSignal
mods.railcraft.common.blocks.signals.TileSignalDualHeadDistantSignal,RCTileStructureDualHeadDistantSignal
mods.railcraft.common.blocks.signals.TileSwitchLever,RCTileStructureSwitchLever
mods.railcraft.common.blocks.signals.TileSwitchMotor,RCTileStructureSwitchMotor
mods.railcraft.common.blocks.signals.TileSwitchRouting,RCTileStructureSwitchRouting
mods.railcraft.common.blocks.tracks.TileTrack,RailcraftTrackTile
mods.railcraft.common.blocks.tracks.TileTrackTESR,RailcraftTrackTESRTile
mrtjp.projectred.illumination.TileAirousLight,tile.projectred.illumination.airousLight
mrtjp.projectred.illumination.TileLamp,tile.projectred.illumination.lamp|0
net.mcft.copy.betterstorage.addon.thaumcraft.TileEntityThaumcraftBackpack,container.betterstorage.thaumcraftBackpack
net.mcft.copy.betterstorage.addon.thaumcraft.TileEntityThaumiumChest,container.betterstorage.thaumiumChest
net.mcft.copy.betterstorage.tile.crate.TileEntityCrate,container.betterstorage.crate
net.mcft.copy.betterstorage.tile.entity.TileEntityBackpack,container.betterstorage.backpack
net.mcft.copy.betterstorage.tile.entity.TileEntityCardboardBox,container.betterstorage.cardboardBox
net.mcft.copy.betterstorage.tile.entity.TileEntityCraftingStation,container.betterstorage.craftingStation
net.mcft.copy.betterstorage.tile.entity.TileEntityLockableDoor,betterstorage.lockableDoor
net.mcft.copy.betterstorage.tile.entity.TileEntityLocker,container.betterstorage.locker
net.mcft.copy.betterstorage.tile.entity.TileEntityPresent,container.betterstorage.present
net.mcft.copy.betterstorage.tile.entity.TileEntityReinforcedChest,container.betterstorage.reinforcedChest
net.mcft.copy.betterstorage.tile.entity.TileEntityReinforcedLocker,container.betterstorage.reinforcedLocker
net.mcft.copy.betterstorage.tile.stand.TileEntityArmorStand,container.betterstorage.armorStand
net.minecraft.block.BlockJukebox$TileEntityJukebox,RecordPlayer
net.minecraft.tileentity.TileEntity,GeoBlockHost
net.minecraft.tileentity.TileEntityBeacon,Beacon
net.minecraft.tileentity.TileEntityBrewingStand,Cauldron
net.minecraft.tileentity.TileEntityChest,Chest
net.minecraft.tileentity.TileEntityCommandBlock,Control
net.minecraft.tileentity.TileEntityComparator,Comparator
net.minecraft.tileentity.TileEntityDaylightDetector,DLDetector
net.minecraft.tileentity.TileEntityDispenser,Trap
net.minecraft.tileentity.TileEntityDropper,Dropper
net.minecraft.tileentity.TileEntityEnchantmentTable,EnchantTable
net.minecraft.tileentity.TileEntityEndPortal,Airportal
net.minecraft.tileentity.TileEntityEnderChest,EnderChest
net.minecraft.tileentity.TileEntityFlowerPot,FlowerPot
net.minecraft.tileentity.TileEntityFurnace,Furnace
net.minecraft.tileentity.TileEntityHopper,Hopper
net.minecraft.tileentity.TileEntityMobSpawner,MobSpawner
net.minecraft.tileentity.TileEntityNote,Music
net.minecraft.tileentity.TileEntityPiston,Piston
net.minecraft.tileentity.TileEntitySign,Sign
net.minecraft.tileentity.TileEntitySkull,Skull
openblocks.common.tileentity.TileEntityBearTrap,openblocks_beartrap
openblocks.common.tileentity.TileEntityBigButton,openblocks_bigbutton
openblocks.common.tileentity.TileEntityCannon,openblocks_cannon
openblocks.common.tileentity.TileEntityCanvas,openblocks_canvasglass
openblocks.common.tileentity.TileEntityDonationStation,openblocks_donationStation
openblocks.common.tileentity.TileEntityDrawingTable,openblocks_drawingtable
openblocks.common.tileentity.TileEntityFan,openblocks_fan
openblocks.common.tileentity.TileEntityFlag,openblocks_flag
